class_label,document
positive,"http://www.marketwatch.com/story/august-gold-ends-up-160-or-02-at-93620august gold ends up $1.60, or 0.2%, at $936.20"
positive,http://www.marketwatch.com/story/gold-futures-at-highest-since-early-december-2010-04-14gold futures at highest since early december
negative,http://www.marketwatch.com/story/gold-futures-close-narrowly-lower-2004-12-22gold futures close narrowly lower
positive,https://www.moneycontrol.com/news/business/commodities/gold-edges-up-ahead-of-g20-meeting-set-to-post-second-weekly-gain-3212401.htmlGold edges up ahead of G20 meeting; set to post second weekly gain
negative,http://www.marketwatch.com/story/feb-gold-falls-10c-to-45220oz-in-morning-ny-trade-2004-12-03feb gold falls 10c to $452.20/oz in morning ny trade
neutral,http://www.marketwatch.com/story/gold-little-changed-copper-sinksgold little changed; copper sinks
positive,https://www.moneycontrol.com/news/business/markets/-1701983.htmlgold swings between gains and drops on stronger dollar
none,https://www.metalsdaily.com/link/280600/charts-gold-gld-etf-update-breakdown-.htmcharts : gold gld etf update - breakdown ?
negative,"http://www.marketwatch.com/story/feb-gold-down-120-to-close-at-159670oz-2011-12-19feb. gold down $1.20 to close at $1,596.70/oz"
negative,http://www.marketwatch.com/story/philly-gold-and-silver-index-falls-05-to-end-at-9353-2005-01-19philly gold and silver index falls 0.5% to end at 93.53
positive,"http://www.marketwatch.com/story/dec-gold-settles-at-126990oz-up-7-or-06-2016-10-19Dec. gold settles at $1,269.90/oz, up $7, or 0.6%"
neutral,http://www.investing.com/news/commodities-news/gold-prices-hold-onto-gains-ahead-of-fomc-statement-1352279Gold Prices Hold onto Gains Ahead of FOMC Statement
positive,"http://www.marketwatch.com/story/december-gold-trades-08-higher-at-1289oz-2017-08-10December gold trades 0.8% higher at $1,289/oz."
negative,https://www.metalsdaily.com/link/279813/gold-bulls-push-for-the-exits-on-strong-dollar-and-lack-of-fear.htmgold bulls push for the exits on strong dollar and lack of fear
positive,"http://www.marketwatch.com/story/gold-ends-05-higher-at-115960-an-ounce-2010-04-14gold ends 0.5% higher, at $1,159.60 an ounce"
positive,"http://www.investing.com/news/commodities-news/gold-futures-soar-above-$1,200,-amid-escalating-conflict-in-yemen-334368gold futures soar above $1,200, amid escalating conflict in yemen"
positive,http://www.marketwatch.com/story/gold-falls-after-fed-talk-boosts-dollar-2013-05-22gold settles at its highest level in a week
positive,"https://economictimes.indiatimes.com/markets/commodities/news/gold-steady-buoyed-by-geopolitical-worries/articleshow/60112652.cmsgold prices rise for a third day, buoyed by geopolitical worries"
negative,https://www.thehindubusinessline.com/markets/gold/gold-holds-near-312-week-low-as-investors-opt-for-riskier-assets/article9978905.eceGold holds near 3-1/2 week low as investors opt for riskier assets
positive,"http://www.marketwatch.com/story/firmer-gold-futures-head-for-weekly-gain-2018-02-16gold ends higher, logs biggest weekly gain since 2016"
positive,"http://www.marketwatch.com/story/august-gold-rises-02-at-125750oz-2017-06-16August gold rises 0.2% at $1,257.50/oz."
negative,http://www.marketwatch.com/story/gold-futures-at-seven-week-low-2004-04-21gold futures at seven-week low
negative,https://economictimes.indiatimes.com/markets/commodities/news/gold-prices-steady-after-hawkish-yellen-comments/articleshow/60849877.cmsgold edges down as dollar gains on fed rate hike view
positive,https://www.metalsdaily.com/link/284308/van-eck-tighter-global-monetary-policy-to-support-gold-market.htmvan eck : tighter global monetary policy to support gold market
positive,"https://www.thehindubusinessline.com/markets/gold/gold-rebounds-to-rs-31860-on-firm-global-cues/article24095236.eceGold rebounds to Rs 31,860 on firm global cues"
positive,"http://www.marketwatch.com/story/december-gold-gains-410-or-03-to-134530oz-2016-07-29december gold gains $4.10, or 0.3%, to $1,345.30/oz."
negative,http://www.marketwatch.com/story/gold-prices-settle-at-lowest-level-in-more-than-a-week-2017-09-11gold prices settle at lowest level in more than a week
negative,"http://www.marketwatch.com/story/dec-gold-down-30-cents-at-1310oz-on-globex-2010-09-29dec. gold down 30 cents at $1,310/oz on globex"
negative,"http://www.marketwatch.com/story/dec-gold-settles-at-132370oz-down-190-or-01-2016-09-13Dec. gold settles at $1,323.70/oz, down $1.90, or 0.1%"
positive,"http://www.marketwatch.com/story/gold-jumps-03-from-settlement-price-after-fed-minutes-to-123740-an-ounce-2017-02-22Gold jumps 0.3% from settlement price after Fed minutes to $1,237.40 an ounce"
negative,"http://www.marketwatch.com/story/gold-lost-1-to-112180-an-ounce-2010-01-08gold lost 1% to $1,121.80 an ounce"
negative,http://www.marketwatch.com/story/gold-futures-fall-for-a-third-straight-session-2016-03-09gold futures fall for a third straight session
positive,http://www.marketwatch.com/story/gold-has-best-monthly-performance-since-nov-2009-2011-08-31gold has best monthly performance since nov. 2009
negative,http://www.marketwatch.com/story/gold-prices-settle-at-lowest-level-in-nearly-8-weeks-2017-10-02gold prices settle at lowest level in nearly 8 weeks
positive,"http://www.marketwatch.com/story/gold-futures-climb-back-above-1200oz-on-comex-2015-04-27gold futures climb back above $1,200/oz on comex"
negative,http://www.marketwatch.com/story/metals-shares-turn-higher-gold-futures-still-lower-2003-10-02metals shares turn higher; gold futures still lower
negative,https://economictimes.indiatimes.com/markets/commodities/gold-declines-first-time-in-seven-days-after-greek-elections/articleshow/14241472.cmsgold declines first time in seven days after greek elections
positive,https://economictimes.indiatimes.com/markets/commodities/news/gold-edges-up-as-dollar-eases-ahead-of-ecb-meeting/articleshow/61233638.cmsgold gains on weaker dollar; markets brace for ecb decision
negative,http://www.marketwatch.com/story/gold-holds-modest-loss-after-ppi-report-2017-12-12gold holds modest loss after ppi report
positive,http://www.marketwatch.com/story/february-gold-contract-notches-highest-settlement-in-over-a-week-2017-11-28February gold contract notches highest settlement in over a week
positive,"http://www.marketwatch.com/story/august-gold-climbs-by-1060-or-09-to-settle-at-1260oz-2017-07-27August gold climbs by $10.60, or 0.9%, to settle at $1,260/oz"
positive,"http://www.marketwatch.com/story/gold-finishes-higher-at-110370oz-2010-03-23gold finishes higher at $1,103.70/oz"
positive,https://www.metalsdaily.com/link/275678/debt-global-debt-surges-gold-and-silver-investors-patience-will-soon-pay-off.htmdebt : global debt surges - gold and silver investors' patience will soon pay off
positive,"http://www.marketwatch.com/story/gold-futures-open-higher-as-dollar-drops-2008-04-22gold futures open higher, as dollar drops"
negative,http://www.marketwatch.com/story/gold-declines-as-gadhafi-reportedly-exiting-2011-03-08gold futures close with a more than $7 loss
negative,"http://www.marketwatch.com/story/gold-prices-slip-from-11-month-highs-as-dollar-steadies-2017-08-30gold surrenders 11-month highs on stronger dollar, upbeat economic data"
positive,http://www.marketwatch.com/story/gold-edges-up-in-electronic-trade-post-fed-minutes-2013-10-09gold edges up in electronic trade post-fed minutes
none,https://www.metalsdaily.com/link/280454/when-will-golds-summer-doldrums-end-history-says-pretty-soon.htmwhen will gold's 'summer doldrums' end? history says pretty soon
negative,http://www.marketwatch.com/story/gold-stages-a-retreat-as-government-bond-yields-jolt-higher-2017-06-29Gold ends lower as rise in government bond yields dulls investment interest
none,https://www.moneycontrol.com/news/business/markets/-1649259.htmlgold jewellery exports fall 70% in july
negative,"https://www.moneycontrol.com/news/business/markets/-2104243.htmlsilver, gold near lifetime highs, dollar loses ground"
none,http://www.marketwatch.com/story/african-barrick-gold-production-declines-2012-07-23african barrick gold production declines
negative,"https://www.thehindubusinessline.com/markets/gold/gold-futures-down-at-rs-30568-on-weak-global-cues/article8727972.eceGold futures down at Rs 30,568 on weak global cues"
positive,"http://www.marketwatch.com/story/metals-shares-fall-but-gold-futures-edge-up-2004-05-05metals shares fall, but gold futures edge up"
positive,http://www.marketwatch.com/story/august-gold-ends-up-1620-at-93130-an-ounce-on-nymex-2008-06-27august gold ends up $16.20 at $931.30 an ounce on nymex
negative,"http://www.marketwatch.com/story/gold-futures-fall-under-400-first-time-since-dec-2-2004-01-29gold futures fall under $400, first time since dec. 2"
none,https://economictimes.indiatimes.com/markets/commodities/news/ghana-makes-government-certificate-mandatory-for-exporting-dore-gold/articleshow/55221442.cmsghana makes government certificate mandatory for exporting dore gold
negative,http://www.marketwatch.com/story/gold-holds-modest-loss-after-ism-services-data-2018-01-05gold holds modest loss after ism services data
positive,http://www.marketwatch.com/story/gold-gains-on-hope-the-fed-will-lift-rates-slowly-2016-08-18gold notches two-week high on expectations fed will lift rates slowly
positive,https://www.moneycontrol.com/news/business/markets/-1736071.htmlgold prices gain in major metros in india
positive,http://www.marketwatch.com/story/gold-futures-mark-first-gain-in-four-sessions-2018-05-03gold futures mark first gain in four sessions
positive,"http://www.marketwatch.com/story/gold-sets-fresh-multi-decade-high-of-8152ounce-up-44-2007-11-06gold sets fresh multi-decade high of $815.2/ounce, up $4.4"
none,https://www.moneycontrol.com/news/business/stocks/-1249899.htmlSupport for MCX Gold Feb at Rs 28800: Kotak Commodity
none,http://www.marketwatch.com/story/microsoft-ceo-sees-gold-rush-in-the-cloud-2014-04-24microsoft ceo sees 'gold rush' in the cloud
negative,http://www.marketwatch.com/story/gold-trades-at-multiweek-lows-as-stocks-try-to-push-deeper-into-record-territory-2017-01-26gold ends at lowest level in over 2 weeks as dollar strengthens
positive,"https://economictimes.indiatimes.com/markets/commodities/gold-silver-bounce-on-global-cues-jewellers-buying/articleshow/51729892.cmsgold, silver bounce on global cues, jewellers buying"
positive,http://www.marketwatch.com/story/gold-inches-higher-ahead-of-fed-meeting-2013-12-16gold scores gain for second session in a row
none,https://www.thehindubusinessline.com/markets/commodities/jewellers-want-gold-import-duty-cut-to-2/article6917217.eceJewellers want gold import duty cut to 2%
none,"https://economictimes.indiatimes.com/markets/commodities/gold-heads-for-worst-week-in-2-months-on-syria-fed/articleshow/22537802.cmsgold heads for worst week in 2 months on syria, fed"
positive,"https://economictimes.indiatimes.com/markets/commodities/gold-hits-new-high-of-rs-24350-silver-sheds-rs-3100/articleshow/9493458.cmsgold hits new high of rs 24,350; silver sheds rs 3,100"
negative,http://www.marketwatch.com/story/dec-gold-falls-410-to-46280oz-in-morning-ny-trade-2005-11-01dec gold falls $4.10 to $462.80/oz in morning ny trade
negative,"http://www.marketwatch.com/story/gold-headed-for-weekly-loss-as-market-digs-in-for-expected-fed-rate-hike-2016-12-09Gold at 10-month low, down 5 weeks in a row"
none,https://www.metalsdaily.com/link/278550/abc-refinery-gains-shanghai-gold-exchange-accreditation.htmabc refinery gains shanghai gold exchange accreditation
positive,https://www.moneycontrol.com/news/business/markets/-2018061.htmlSpot Gold rates move up today
positive,"http://www.investing.com/news/commodities-news/gold-jumps-above-$1,150-as-u.s.-dollar-collapses-to-3-month-low-383291gold jumps above $1,150 as u.s. dollar collapses to 3-month low"
positive,http://www.marketwatch.com/story/gold-snaps-back-to-back-drop-as-dollar-rally-stalls-ahead-of-central-bank-meetings-2016-12-07Gold futures end higher after back-to-back drop
positive,https://www.metalsdaily.com/link/280988/natixis-look-for-gold-to-rally-in-september-as-usd-weakens.htmnatixis : look for gold to rally in september as usd weakens
negative,https://economictimes.indiatimes.com/markets/commodities/news/silver-steals-the-shine-as-gold-loses-lustre/articleshow/61197914.cmssilver steals the shine as gold loses lustre
none,http://www.marketwatch.com/story/kinross-gold-agrees-500-million-credit-facility-2006-09-20kinross gold agrees $500 million credit facility
positive,"http://www.marketwatch.com/story/dec-gold-settles-at-129380oz-up-880-or-07-2017-10-10Dec. gold settles at $1,293.80/oz, up $8.80, or 0.7%"
negative,http://www.marketwatch.com/story/gold-ends-at-two-week-low-as-dollar-strengthens-2009-06-08gold ends at two-week low as dollar continues to strengthen
negative,https://www.moneycontrol.com/news/business/markets/gold-futures-fall-024global-cues-969333.htmlgold futures fall 0.24% on global cues
negative,https://www.moneycontrol.com/news/business/stocks/gold-prices-to-trade-lower-today-angel-commodities-15-2679051.htmlGold prices to trade lower today: Angel Commodities
negative,https://www.moneycontrol.com/news/business/markets/-1374289.htmlgold rates: mcx goldguinea july contract declines
none,https://www.metalsdaily.com/link/275586/india-jewellers-bullion-traders-spar-over-gold-import-duty-.htmindia : jewellers & bullion traders spar over gold import duty
negative,https://www.moneycontrol.com/news/business/stocks/-1213935.htmlgold prices may slip to rs 28745-27850: mangal keshav
positive,"http://www.marketwatch.com/story/gold-issues-futures-prices-inch-upgold issues, futures prices inch up"
positive,"http://www.marketwatch.com/story/august-gold-settles-at-124550oz-up-350-or-03-2017-07-20August gold settles at $1,245.50/oz, up $3.50, or 0.3%"
negative,http://www.investing.com/news/commodities-news/gold-prices-remain-lower-on-stronger-us-dollar-1075121Gold Prices Remain Lower on Stronger U.S. Dollar
negative,http://www.investing.com/news/commodities-news/gold-prices-pull-back-from-4month-highs-1065773gold prices pull back from 4-month highs
negative,"http://www.marketwatch.com/story/feb-gold-down-370-or-03-at-123490oz-2014-01-06feb. gold down $3.70, or 0.3%, at $1,234.90/oz"
positive,"http://www.marketwatch.com/story/december-gold-gains-850-or-06-at-136850oz-2016-08-02December gold gains $8.50, or 0.6%, at $1,368.50/oz."
positive,http://www.marketwatch.com/story/gold-futures-climb-above-700-an-ounce-in-morning-dealings-2006-05-17gold futures climb above $700 an ounce in morning dealings
negative,https://www.moneycontrol.com/news/business/markets/gold-etfs-record-rs-900-cr-outflow2015-aum-down-20-1050379.htmlgold etfs record rs 900 cr outflow in 2015; aum down 20%
none,https://www.moneycontrol.com/news/business/markets/-1613919.htmlgold may touch rs 35500/10gms in few days: kishore narne
none,https://www.metalsdaily.com/link/282340/how-trumpenomics-torpedoed-gold-prices.htmhow trumpenomics torpedoed gold prices
negative,"http://www.marketwatch.com/story/august-gold-off-05-at-125390oz-2017-07-20august gold off 0.5% at $1,253.90/oz."
negative,"http://www.marketwatch.com/story/august-gold-down-10-or-08-to-settle-at-124640oz-2017-06-26August gold down $10, or 0.8%, to settle at $1,246.40/oz"
negative,"http://www.marketwatch.com/story/april-gold-down-160-or-01-at-125410oz-after-highs-above-1258-2017-03-28April gold down $1.60, or 0.1%, at $1,254.10/oz after highs above $1,258"
positive,"http://www.marketwatch.com/story/feb-gold-settles-at-118490oz-up-1150-or-about-1-2017-01-09Feb. gold settles at $1,184.90/oz, up $11.50, or about 1%"
neutral,"http://www.marketwatch.com/story/gold-oil-hold-to-gains-after-ism-data-2011-03-01gold, oil hold to gains after ism data"
none,"http://www.marketwatch.com/story/price-fixing-of-gold-oil-to-become-a-crime-in-uk-2014-09-25price-fixing of gold, oil to become a crime in u.k."
neutral,http://www.marketwatch.com/story/gold-holds-steady-as-dollar-firms-2008-07-08gold holds steady as dollar firms
positive,http://www.marketwatch.com/story/gold-gains-on-dollar-weakness-200010101628220gold gains on dollar weakness
negative,"https://economictimes.indiatimes.com/markets/commodities/news/gold-rate-today-gold-silver-down-in-morning-trade/articleshow/61669183.cmsgold rate today: gold, silver down in morning trade"
none,https://www.thehindubusinessline.com/economy/modern-medicine-strikes-gold/article23104606.eceModern medicine strikes gold
positive,http://www.marketwatch.com/story/gold-prices-gain-along-with-stock-futures-2010-05-26gold prices gain along with stock futures
positive,http://www.marketwatch.com/story/metals-issues-climb-gold-steadiesmetals issues climb; gold steadies
negative,http://www.marketwatch.com/story/gold-falls-for-ninth-day-as-dollar-rises-vs-euro-2008-09-11-1491339gold falls for ninth day as dollar rises vs. euro
positive,http://www.marketwatch.com/story/gold-futures-finish-at-a-1-week-high-ahead-of-fed-decision-2018-03-21gold futures finish at a 1-week high ahead of fed decision
positive,https://www.metalsdaily.com/link/276928/fred-hickey-buy-gold.htmfred hickey - buy gold
positive,"http://www.marketwatch.com/story/december-gold-up-03-at-134330oz-2017-09-07December gold up 0.3% at $1,343.30/oz."
none,http://www.marketwatch.com/story/this-is-your-brain-on-bitcoin-2017-12-04Here's what's driving bitcoin buyers' rush to 'millennial gold'
none,"https://www.thehindubusinessline.com/markets/gold/more-steps-to-curb-gold-imports-if-needed/article20616153.eceMore steps' to curb gold imports, if needed"
positive,"http://www.marketwatch.com/story/dec-gold-settles-at-129440oz-up-710-or-06-2017-11-27Dec. gold settles at $1,294.40/oz, up $7.10, or 0.6%"
none,http://www.marketwatch.com/story/canadian-stocks-close-lower-gold-gains-limit-losses-2004-02-24gold shares buoy bay street
negative,http://www.marketwatch.com/story/gold-ends-higher-silver-down-2-after-steep-loss-2011-05-12gold ends higher; silver down 2% after steep loss
positive,http://www.marketwatch.com/story/gold-futures-log-highest-settlement-since-mid-november-2017-02-02Gold futures log highest settlement since mid-November
positive,"https://economictimes.indiatimes.com/articleshow/5272001.cmsgold closes above rs 18,000-level on strong global cues"
negative,"https://economictimes.indiatimes.com/articleshow/3596693.cmsgold ends lower at rs 13,130"
positive,"https://www.thehindubusinessline.com/markets/gold/gold-glitters-ahead-of-dhanteras-diwali/article25389853.eceGold glitters ahead of Dhanteras, Diwali"
neutral,"https://www.thehindubusinessline.com/markets/gold/gold-holds-above-1200oz-on-weaker-dollar-before-fed-minutes/article7080656.eceGold holds above $1,200/oz on weaker dollar before Fed minutes"
positive,"https://economictimes.indiatimes.com/markets/commodities/gold-silver-encounter-profit-selling-global-cues/articleshow/14719497.cmsgold, silver encounter profit-selling, global cues"
positive,https://www.thehindubusinessline.com/markets/gold/gold-surges-most-in-four-weeks-on-dagong-us-downgrade/article23101423.eceGold surges most in four weeks on Dagong US downgrade
none,http://www.investing.com/news/commodities-news/gold---silver---copper-futures---weekly-outlook:-august-4---8-300301Gold / Silver / Copper futures - weekly outlook: August 4 - 8
positive,"http://www.marketwatch.com/story/april-gold-settles-at-123020bbl-up-310-or-03-2017-03-17April gold settles at $1,230.20/bbl, up $3.10, or 0.3%"
positive,http://www.investing.com/news/commodities-news/gold-prices-gain-in-asia-as-china-cpi-up-less-than-expected-370485Gold prices gain in Asia as China CPI up less than expected
positive,"http://www.marketwatch.com/story/gold-futures-end-slightly-higher-but-tally-a-third-straight-weekly-loss-2018-05-04gold futures end slightly higher, but tally a third straight weekly loss"
none,http://www.marketwatch.com/story/have-a-question-about-gold-ask-the-author-of-precious-metals-investing-for-dummies-now-2017-03-01have a question about gold? ask the author of 'precious metals investing for dummies' now
positive,https://www.metalsdaily.com/link/287611/sharps-pixley-chinese-gold-demand-slipping-but-still-up-y-o-y.htmsharps pixley: chinese gold demand slipping - but still up y-o-y
neutral,https://www.moneycontrol.com/news/business/stocks/expect-gold-to-trade-sideways-sushil-finance-23-2411961.htmlExpect Gold to trade sideways: Sushil Finance
none,https://economictimes.indiatimes.com/markets/commodities/news/today-gold-price-track-today-gold-rate-latest-trends-and-news/articleshow/59842239.cmstoday gold price: track today gold rate latest trends and news
none,"https://www.thehindubusinessline.com/companies/dhanteras-this-season-it-is-lightweight-gold-silver/article20352567.ece1Dhanteras: This season, it is lightweight gold, silver"
positive,"http://www.marketwatch.com/story/behind-golds-flash-oils-a-true-performer-2009-11-27hiding behind gold's flashy moves, oil's the true performer"
negative,"http://www.marketwatch.com/story/gold-oil-trade-lower-as-jobs-data-weigh-2012-05-02gold, oil trade lower as jobs data weigh"
none,https://www.metalsdaily.com/link/249559/sge-daily-shanghai-gold-benchmark-price.htmsge : daily shanghai gold benchmark price
positive,"http://www.marketwatch.com/story/gold-futures-rise-as-dollar-edges-lower-2008-03-05gold futures rise, as dollar edges lower"
negative,http://www.marketwatch.com/story/gold-suffers-from-biggest-single-day-dollar-and-percentage-loss-since-jan-25-2017-02-13Gold suffers from biggest single-day dollar and percentage loss since Jan. 25
negative,https://www.moneycontrol.com/news/business/markets/expect-downward-movegold-astromoneyguru-1292343.htmlexpect downward move in gold: astromoneyguru
none,https://www.metalsdaily.com/link/278472/rjo-futures-gold-versus-silver-q2-to-benefit-the-white-metals.htmrjo futures : gold versus silver: q2 to benefit the white metals
negative,http://www.marketwatch.com/story/gold-prices-end-the-month-with-a-loss-of-about-11-2017-10-31Gold prices end the month with a loss of about 1.1%
positive,"http://www.marketwatch.com/story/april-gold-settles-at-122260oz-on-comex-up-1250-or-1-2016-02-23april gold settles at $1,222.60/oz on comex, up $12.50, or 1%"
negative,"http://www.marketwatch.com/story/june-gold-down-117-or-1-after-sentiment-data-2010-04-16june gold down $11.7, or 1%, after sentiment data"
none,https://www.metalsdaily.com/link/274139/hong-kong-worlds-top-jeweler-reveals-growing-appetite-for-gold-in-china.htmhong kong : world's top jeweler reveals growing appetite for gold in china
negative,"https://economictimes.indiatimes.com/markets/expert-view/low-inflation-phase-not-for-realty-gold-hence-investors-rushing-to-equity-ashwini-agarwal-ashmore-investment/articleshow/60728397.cmslow inflation phase not for realty, gold; hence investors rushing to equity: ashwini agarwal, ashmore investment"
negative,https://www.moneycontrol.com/news/business/gold-slips-as-dollar-steadies-on-positive-us-data-2551103.htmlGold slips as dollar steadies on positive US data
positive,http://www.investing.com/news/commodities-news/gold-prices-jump-in-early-asia-as-fed-hold-steady-citing-global-weakness-362250gold prices jump in early asia as fed hold steady citing global weakness
none,"https://www.moneycontrol.com/news/business/stocks/-2044881.htmlintraday strategy for gold, nickel, lead: angel broking"
negative,http://www.marketwatch.com/story/gold-futures-settle-at-lowest-level-since-early-february-2016-12-15Gold futures settle at lowest level since early February
negative,"http://www.marketwatch.com/story/gold-hovers-near-1200-level-again-2014-11-26gold ends lower, still flirting with $1,200 level"
none,"http://www.marketwatch.com/story/gold-may-be-flying-but-this-gold-stocks-a-turkey-2009-11-06gold may be flying, but this gold stock's a turkey"
positive,"https://economictimes.indiatimes.com/markets/commodities/gold-silver-start-week-on-firm-note-rise-on-global-cues/articleshow/10641646.cmsgold, silver start week on firm note, rise on global cues"
positive,"http://www.marketwatch.com/story/gold-silver-gain-on-more-bets-the-fed-will-take-it-slow-on-raising-rates-2016-09-05Gold, silver gain on more bets the Fed will take it slow on raising rates"
positive,"https://www.moneycontrol.com/news/business/commodities/gold-industry-sees-prices-rising-to-1532oz-over-12-months-3107261.htmlGold industry sees prices rising to $1,532/oz over 12 months"
positive,http://www.marketwatch.com/story/gold-reclaims-980-mark-silver-approaches-16-2009-06-02gold rises as dollar weakens anew; silver ends near $16
positive,http://www.investing.com/news/commodities-news/gold-prices-edge-higher-with-all-eyes-on-us-tariffs-1331130Gold Prices Edge Higher With All Eyes on U.S. Tariffs
positive,http://www.marketwatch.com/story/december-gold-up-590-to-82270-an-ounce-on-globex-2008-08-20december gold up $5.90 to $822.70 an ounce on globex
positive,https://www.thehindubusinessline.com/markets/gold/gold-at-3week-high-as-dollar-struggles-amid-us-rate-outlook/article8465611.eceGold at 3-week high as dollar struggles amid US rate outlook
positive,"http://www.marketwatch.com/story/june-gold-up-02-at-131990oz-2018-04-27june gold up 0.2% at $1,319.90/oz."
none,https://www.moneycontrol.com/news/business/stocks/-1715221.htmlsell mcx gold dec around rs 31500; target rs 31170: geojit
positive,https://www.moneycontrol.com/news/business/markets/-1329767.htmlMCX GOLD February contract moves up
negative,"http://www.marketwatch.com/story/august-gold-trades-at-130010oz-down-890-or-07-2018-05-29august gold trades at $1,300.10/oz, down $8.90, or 0.7%"
positive,https://www.moneycontrol.com/news/business/commodities/gold-futures-up-0-36-on-positive-global-cues-3149011.htmlGold futures up 0.36% on positive global cues
negative,"https://www.thehindubusinessline.com/markets/gold/gold-futures-dip-to-rs-29012-on-weak-global-cues/article9662048.eceGold futures dip to Rs 29,012 on weak global cues"
positive,https://www.moneycontrol.com/news/business/markets/-2110837.htmlMCX GOLDPETAL Nov contract up marginally
