class_label,document
positive,"August gold rises 0.2% at $1,257.50/oz."
negative,gold futures at seven-week low
negative,gold edges down as dollar gains on fed rate hike view
positive,van eck : tighter global monetary policy to support gold market
positive,"Gold rebounds to Rs 31,860 on firm global cues"
positive,"december gold gains $4.10, or 0.3%, to $1,345.30/oz."
negative,gold prices settle at lowest level in more than a week
negative,"dec. gold down 30 cents at $1,310/oz on globex"
negative,"Dec. gold settles at $1,323.70/oz, down $1.90, or 0.1%"
positive,"Gold jumps 0.3% from settlement price after Fed minutes to $1,237.40 an ounce"
negative,"gold lost 1% to $1,121.80 an ounce"
negative,gold futures fall for a third straight session
positive,gold has best monthly performance since nov. 2009
negative,gold prices settle at lowest level in nearly 8 weeks
positive,"gold futures climb back above $1,200/oz on comex"
negative,metals shares turn higher; gold futures still lower
negative,gold declines first time in seven days after greek elections
positive,gold gains on weaker dollar; markets brace for ecb decision
negative,gold holds modest loss after ppi report
positive,February gold contract notches highest settlement in over a week
positive,"August gold climbs by $10.60, or 0.9%, to settle at $1,260/oz"
positive,"gold finishes higher at $1,103.70/oz"
positive,debt : global debt surges - gold and silver investors' patience will soon pay off
positive,"gold futures open higher, as dollar drops"
negative,gold futures close with a more than $7 loss
negative,"gold surrenders 11-month highs on stronger dollar, upbeat economic data"
positive,gold edges up in electronic trade post-fed minutes
none,when will gold's 'summer doldrums' end? history says pretty soon
negative,Gold ends lower as rise in government bond yields dulls investment interest
none,gold jewellery exports fall 70% in july
negative,"silver, gold near lifetime highs, dollar loses ground"
none,african barrick gold production declines
negative,"Gold futures down at Rs 30,568 on weak global cues"
positive,"metals shares fall, but gold futures edge up"
positive,august gold ends up $16.20 at $931.30 an ounce on nymex
negative,"gold futures fall under $400, first time since dec. 2"
none,ghana makes government certificate mandatory for exporting dore gold
negative,gold holds modest loss after ism services data
positive,gold notches two-week high on expectations fed will lift rates slowly
positive,gold prices gain in major metros in india
positive,gold futures mark first gain in four sessions
positive,"gold sets fresh multi-decade high of $815.2/ounce, up $4.4"
none,Support for MCX Gold Feb at Rs 28800: Kotak Commodity
none,microsoft ceo sees 'gold rush' in the cloud
negative,gold ends at lowest level in over 2 weeks as dollar strengthens
positive,"gold, silver bounce on global cues, jewellers buying"
positive,gold scores gain for second session in a row
none,Jewellers want gold import duty cut to 2%
none,"gold heads for worst week in 2 months on syria, fed"
positive,"gold hits new high of rs 24,350; silver sheds rs 3,100"
negative,dec gold falls $4.10 to $462.80/oz in morning ny trade
negative,"Gold at 10-month low, down 5 weeks in a row"
none,abc refinery gains shanghai gold exchange accreditation
positive,Spot Gold rates move up today
positive,"gold jumps above $1,150 as u.s. dollar collapses to 3-month low"
positive,Gold futures end higher after back-to-back drop
positive,natixis : look for gold to rally in september as usd weakens
negative,silver steals the shine as gold loses lustre
none,kinross gold agrees $500 million credit facility
positive,"Dec. gold settles at $1,293.80/oz, up $8.80, or 0.7%"
negative,gold ends at two-week low as dollar continues to strengthen
negative,gold futures fall 0.24% on global cues
negative,Gold prices to trade lower today: Angel Commodities
negative,gold rates: mcx goldguinea july contract declines
none,india : jewellers & bullion traders spar over gold import duty
negative,gold prices may slip to rs 28745-27850: mangal keshav
positive,"gold issues, futures prices inch up"
positive,"August gold settles at $1,245.50/oz, up $3.50, or 0.3%"
negative,Gold Prices Remain Lower on Stronger U.S. Dollar
negative,gold prices pull back from 4-month highs
negative,"feb. gold down $3.70, or 0.3%, at $1,234.90/oz"
positive,"December gold gains $8.50, or 0.6%, at $1,368.50/oz."
positive,gold futures climb above $700 an ounce in morning dealings
negative,gold etfs record rs 900 cr outflow in 2015; aum down 20%
none,gold may touch rs 35500/10gms in few days: kishore narne
none,how trumpenomics torpedoed gold prices
negative,"august gold off 0.5% at $1,253.90/oz."
negative,"August gold down $10, or 0.8%, to settle at $1,246.40/oz"
negative,"April gold down $1.60, or 0.1%, at $1,254.10/oz after highs above $1,258"
positive,"Feb. gold settles at $1,184.90/oz, up $11.50, or about 1%"
neutral,"gold, oil hold to gains after ism data"
none,"price-fixing of gold, oil to become a crime in u.k."
neutral,gold holds steady as dollar firms
positive,gold gains on dollar weakness
negative,"gold rate today: gold, silver down in morning trade"
none,Modern medicine strikes gold
positive,gold prices gain along with stock futures
positive,metals issues climb; gold steadies
negative,gold falls for ninth day as dollar rises vs. euro
positive,gold futures finish at a 1-week high ahead of fed decision
positive,fred hickey - buy gold
positive,"December gold up 0.3% at $1,343.30/oz."
none,Here's what's driving bitcoin buyers' rush to 'millennial gold'
none,"More steps' to curb gold imports, if needed"
positive,"Dec. gold settles at $1,294.40/oz, up $7.10, or 0.6%"
none,gold shares buoy bay street
negative,gold ends higher; silver down 2% after steep loss
positive,Gold futures log highest settlement since mid-November
positive,"gold closes above rs 18,000-level on strong global cues"
negative,"gold ends lower at rs 13,130"
positive,"Gold glitters ahead of Dhanteras, Diwali"
neutral,"Gold holds above $1,200/oz on weaker dollar before Fed minutes"
positive,"gold, silver encounter profit-selling, global cues"
positive,Gold surges most in four weeks on Dagong US downgrade
none,Gold / Silver / Copper futures - weekly outlook: August 4 - 8
positive,"April gold settles at $1,230.20/bbl, up $3.10, or 0.3%"
positive,Gold prices gain in Asia as China CPI up less than expected
positive,"gold futures end slightly higher, but tally a third straight weekly loss"
none,have a question about gold? ask the author of 'precious metals investing for dummies' now
positive,sharps pixley: chinese gold demand slipping - but still up y-o-y
neutral,Expect Gold to trade sideways: Sushil Finance
none,today gold price: track today gold rate latest trends and news
none,"Dhanteras: This season, it is lightweight gold, silver"
positive,"hiding behind gold's flashy moves, oil's the true performer"
negative,"gold, oil trade lower as jobs data weigh"
none,sge : daily shanghai gold benchmark price
positive,"gold futures rise, as dollar edges lower"
negative,Gold suffers from biggest single-day dollar and percentage loss since Jan. 25
negative,expect downward move in gold: astromoneyguru
none,rjo futures : gold versus silver: q2 to benefit the white metals
negative,Gold prices end the month with a loss of about 1.1%
positive,"april gold settles at $1,222.60/oz on comex, up $12.50, or 1%"
negative,"june gold down $11.7, or 1%, after sentiment data"
none,hong kong : world's top jeweler reveals growing appetite for gold in china
negative,"low inflation phase not for realty, gold; hence investors rushing to equity: ashwini agarwal, ashmore investment"
negative,Gold slips as dollar steadies on positive US data
positive,gold prices jump in early asia as fed hold steady citing global weakness
none,"intraday strategy for gold, nickel, lead: angel broking"
negative,Gold futures settle at lowest level since early February
negative,"gold ends lower, still flirting with $1,200 level"
none,"gold may be flying, but this gold stock's a turkey"
positive,"gold, silver start week on firm note, rise on global cues"
positive,"Gold, silver gain on more bets the Fed will take it slow on raising rates"
positive,"Gold industry sees prices rising to $1,532/oz over 12 months"
positive,gold rises as dollar weakens anew; silver ends near $16
positive,Gold Prices Edge Higher With All Eyes on U.S. Tariffs
positive,december gold up $5.90 to $822.70 an ounce on globex
positive,Gold at 3-week high as dollar struggles amid US rate outlook
positive,"june gold up 0.2% at $1,319.90/oz."
none,sell mcx gold dec around rs 31500; target rs 31170: geojit
positive,MCX GOLD February contract moves up
negative,"august gold trades at $1,300.10/oz, down $8.90, or 0.7%"
positive,Gold futures up 0.36% on positive global cues
negative,"Gold futures dip to Rs 29,012 on weak global cues"
positive,MCX GOLDPETAL Nov contract up marginally
neutral,gold holds steady amid softer dollar
positive,Assets under Gold ETFs up nearly three fold
negative,Gold marks new session lows as U.S. dollar index trades near day's highs
positive,gold rises to 1-week high as dollar holds steady
positive,gold adds to gains after weak china data
negative,gold prices fall for the session to post a modest loss for the week
positive,"commodity watch: gold, silver rise; sugar slides in futures trade"
negative,"Look to buy gold on dips to $1,240"
none,"goldman's prior end-2013 gold call was $1,435/oz"
positive,"Gold futures pare gains, but still finish at a 6-week high"
none,gold survives goldman sachs
positive,gold futures up $12.20 at $954.70 an ounce
none,reserve bank of india adds 2.5 tonnes of gold to forex reserves in q4
positive,"Gold futures rise to Rs 29,416"
positive,"cboe gold index closes at 84.2, up 4%"
positive,"Dec. gold settles at $1,296.70/oz, up $5.10, or 0.4%"
none,moody's revises pilgrim's pride outlook on gold kist bid
negative,"june gold futures fall $11.60, or 0.9%, to settle at $1,277.50 an ounce"
positive,gold prices soar but buyers bet on akshaya tritiya
negative,Gold future extend losses after jobs report
negative,"Dec. gold drops $33.40, or 2.6%, to $1,233/oz"
negative,Gold prices to trade lower today: Angel Commodities
none,hedge funds kept betting against gold even as prices began rally
negative,"dec. gold reverses losses, gaining 0.6% to $734.70 an ounce"
positive,gold futures mark their highest settlement since feb. 11
none,current gold rate: check out current gold price
none,2018 gold price 'could hit $1450'
positive,"gold rallies to finish near $1,200 as trump fuels market uncertainty"
positive,"gold tops $1,790 to end at over six-week high"
positive,gold futures rebound on firm global cues
negative,gold prices on track to settle lower for the session
negative,Fading aura: Gold set for further correction
positive,gold prices rebound in asia ahead of china q3 gdp
positive,"gold, oil hold on to gains post bernanke"
positive,mcx goldguinea november contract rises
negative,Gold futures mark lowest settlement since early June
positive,"Gold prices trading higher in Chennai, Ahmedabad market"
negative,gold futures remain lower after durable goods
neutral,gold kist started at hold at stifel nicolaus
none,gold's 47-year bull market
negative,dubai loses glitter as vat tax crimps demand in city of gold
positive,sanguine about gold
positive,gold ends narrowly higher as 'many uncertainties' plague the market
negative,"june gold last at $1,203.90/oz on comex, down 20 cents"
negative,"June gold down 1.5% at $1,230.40/oz."
positive,gold scores third straight win; edges up more after fed decision
negative,Gold settles lower as investors look to Jackson Hole
positive,gold rises rs 67 in futures trade on global cues
negative,gold falls as jobs data clip economic worries
positive,festive demand lifts up gold & silver prices
positive,"gold futures up $8.50 at $1,005.20 an ounce"
positive,"Gold hits 4-week high as central bank meetings, Brexit vote shake stocks"
negative,"gold closes a tad lower at $1,325.10/oz"
negative,lower oil prices and weaker gold demand positive for current account deficit
negative,"karvy advises to sell gold, silver"
positive,"oil, gold push higher after german court ruling"
negative,"Gold falls on upbeat U.S. housing, inflation data"
none,inflation : long-term evidence: gold and inflation
none,akshay tritiya gold sales to beat last year's record
positive,"gold prices edge higher on weaker dollar, trade tensions"
positive,Gold stands tall as China fears fuel safe-haven draw
negative,gold futures turn lower ahead of comex close
positive,Gold's 2016 peak now looks easy to reach after the metal's big breakout
positive,"Gold settles higher, but seesaws after Fed statement"
none,india's 2015-16 gold imports drop 16%: report
negative,dec gold down 1.4% at $407.10
positive,"Feb. gold settles at $1,204.90/oz, up $3.40, or 0.3%"
negative,here's why gold might die out as an investment
positive,"gold futures rally, as other commodities also rise"
positive,gold futures mark highest settlement in a month
positive,"gold advances, oil posts losses after u.s. outlook"
positive,gold futures gain nearly 3% for the month
none,apollo gold cut to underperform by bmo nesbitt
negative,mining : top gold miners production cost still provides floor in the market price
neutral,gold to trade in 28372-28686 range: achiievers equities
positive,gold rebounds to hit four-month high; silver spurts
positive,Gold holds slight gain after data
positive,gold etfs higher in early trade
negative,august gold falls 0.4% to $951.30 an ounce
positive,"february gold up 0.3% at 1,274.80 an ounce"
positive,"gold edges up on softer dollar, palladium at 16-year peak"
negative,MCX GOLD Dec contract trading lower
positive,"dec gold climbs $4.60 to $467.90/oz, a 9-mo high"
negative,gold stays close to 6-week low as investors await fed outcome
positive,"gold rises on ukraine unease, though u.s. data cap gains"
negative,gold futures down 0.43% on weak global cues
positive,"Gold surges by Rs 290 on global cues; reclaims Rs 26,000-level"
negative,gold ends lower as bearish sentiment takes hold
negative,"gold falls 1.5% on day, down 0.4% on week"
positive,"gold futures climb, but end the week down 2.5%"
positive,"Gold edges up after 2-day decline, China concerns support"
negative,"Gold struggles on firmer dollar, Fed rate hike fears"
positive,june gold up $10.40 at $875.50 an ounce on nymex
positive,"Dec. gold gains 20 cents to settle at $1,267.70/oz for the session"
positive,seasonal demand pushes up gold by rs 375; silver by rs 400
negative,Gold edges lower as dollar holds steady
positive,Gold prices turn higher ahead of Comex settlement
positive,"Gold, silver edge higher ahead of U.S. jobless claims, housing data"
positive,"gold futures add $19.80 to $1,733.20"
none,the curious case of this year's high gold imports
negative,gold logs modest losses for the day and week
positive,Gold rises on safe-haven buying
negative,gold options 'fear' traders turn to gold miners
negative,"Dec. gold declines by $16.80, or 1.3%, to settle at $1,286.20/oz"
negative,"gold slips $2.10 to settle at $1,183.50/oz"
positive,"June gold trades $6.80, or 0.6%, higher at $1,234.50/oz."
negative,"Gold futures down at Rs 27,477 on profit-taking"
none,get gold at a discount now
neutral,"gold futures dull, hold above $440"
positive,"Dec. gold gains $3.70, or 0.3%, to settle at $1,294.70/oz"
positive,Gold prices push higher amid Hong Kong unrest
negative,"gold closes 0.2% down at $1,268.70/oz"
positive,"Gold pares losses by the finish, gains 1.2% for the week"
positive,"gold rate today: gold, silver trade higher in morning deals"
negative,"anz cuts '12 gold outlook, cites dollar headwinds"
negative,"gold closes lower, palladium rises"
none,gold kist rejects pilgrim's pride offer as inadequate
negative,waiting for gold to bottom? Watch this group of bulls
negative,"Gold, silver skid on profit-taking, global cues"
negative,gold futures settle at lowest level since jan. 2
negative,"crude oil higher, gold futures lower after data"
positive,Gold futures mark highest finish in about 5 months
negative,"Gold prices end with a slight loss as U.S. equities, dollar gain ground"
none,iamgold deal for gold field non-sadc assets
positive,india : rising gold prices keep india's jewellery buyers at bay
positive,"Gold futures trim gain after jobless claims, PPI data"
positive,MCX GOLD Dec contract trading higher
positive,gold prices climb over $8 an ounce in afternoon trading
negative,Gold futures extends losses
none,graham birch : this gold guy managed $40 billion at blackrock - but quit to run a farm instead
positive,"Gold prices rise on softer dollar, Italy budget woes"
positive,"gold futures climb $9, edge back up toward $1,800"
none,gold demand in india rose by 66% to 963 tonnes in 2010: wgc
negative,MCX GOLDGUINEA Nov contract down marginally
negative,mining indexes slump on gold slide
positive,Gold ends near 3-week high as dollar sinks
negative,gold and silver edge lower while stocks tumble
positive,gold prices rip higher following rpts former trump nat. sec. advisor cooperating with special prosecutor
positive,"Dec. gold trades at $1,255.40/oz, up from $1,253.80 settlement"
positive,gold futures give up europe-deal gains
none,Going for gold: Olympic triumphs literally losing value at Rio Games
none,why investors are quietly turning bearish on gold prices
positive,Gold futures log highest finish since Oct. 3
positive,Gold holds early gains after PPI report
none,"rbi followed due process in notifying 80:20 gold scheme, says former deputy guv hr khan"
positive,"Gold, silver rebound on aggressive buying"
negative,"dec. gold loses $10.30, or 0.9%, to settle at $1,172.80/oz on comex"
positive,This-and not North Korea-is why scared investors are buying gold
positive,gold prices rise for second day on jewellers' buying
negative,feb gold down $7.70 at $430.70/oz in ny
positive,Gold nudges up as Asian shares edge lower
negative,"gold futures fall, tracking tumble in oil prices"
negative,gold prices dull on dollar strength
negative,"gold falls 2% on central banks' action, euro hopes"
positive,gold sparkles again
positive,gold scores biggest weekly gain since january
none,government fixes rate at rs 2987/gm for sovereign gold bond
positive,gold prices to trade volatile: angel commodities
none,when will gold finally return to a bull market?
positive,Gold appetite hit a 5-year high in November as prices tumbled
negative,"june gold down 0.2%, or $1.40, at $688.50/oz in ny"
positive,"April gold climbs $3.40, or 0.3%, to settle at $1,239.50/oz"
neutral,gold steady on easing dollar; fed minutes in focus
positive,"More upside seen in gold prices; buy futures above Rs 30,450 for target Rs 30,600"
negative,gold slumps over 1% in wake of fed meeting
none,singapore firm to mint islamic cryptocurrency backed by gold
negative,"gold inches down, ends week with 3.4% loss"
positive,dec gold climbs $2.80 to $433.30/oz in ny
negative,Gold prices settle lower after two-session gain
negative,Gold prices sink nearly 8% in November for worst monthly loss in 2016
positive,"Gain seen in gold prices in Mumbai, Delhi market"
none,the spx/gold ratio
positive,"Gold prices end the session lower, but tally a gain for the first half of the year"
positive,"Dec. gold gains $8.20, or 0.6%, to settle at $1,330.40/oz"
neutral,"oil trades below $73, gold reverses after bernanke"
negative,Gold prices log lowest settlement since early August
none,buy gold on dips; may test rs 33250: nirmal bang
positive,Gold extends its streak of gains to four sessions by a hair
none,"gold, silver and oil markets hope for better year"
positive,gold gains as dollar rally takes a breather
positive,"Gold prices up in Asia as Fed holds steady, eyes on Eurogroup ahead"
positive,spot gold quoted at $404.10 in asia
positive,"gold rises to rs 22,570, silver to rs 54,700 on global cues"
negative,Gold prices to trade lower today: Angel Commodities
negative,gold slightly lower as investors await fed
positive,gold trades higher as dollar eases
positive,gold climbs to 9.5 month high as north korea tensions escalate
positive,commodities - gold prices bounce back on softer dollar ahead of fed
positive,"gold ends higher, posts best settlement price since july"
positive,Gold prices to trade higher today: Angel Commodities
positive,"Gold futures up at Rs 30,226/10 gm"
negative,correct: gold futures settle at lowest level in more than 4 weeks
neutral,"gold to hover around rs 16,000 this week"
positive,gold futures up over $3 an ounce in afternoon dealings
negative,"gold prices down 9 sessions, lose 2% for the week"
positive,"feb. gold rises $3.40 to $1,087.90/oz on globex"
negative,"gold settles back under $1,300 an ounce"
negative,philly gold and silver index falls 2.7% to end at 91.76
positive,Gold extends gains as Fed minutes reveal weak pricing concerns
positive,"oil turns lower, gold holds gain after jobs"
positive,"Dec. gold at $1,190.30/oz in electronic trading, up from $1,189.30 settlement"
positive,"aug. gold up $58 at $1,622.20 after $1,623.20 high"
positive,"Dec. gold gains $3, or 0.2%, to $1,314.40/oz"
positive,"gold, silver rise on wedding season demand"
negative,"dec gold closes at $420.80/oz, down $7.40"
positive,"philadelphia gold/silver index ends at 99.96, up 0.5% on day"
positive,"Dec. gold settles at $1,317.80/oz, up $7.60, or 0.6%"
positive,gold ends floor trade up $9.8 at $1191.7 an ounce
negative,"gold plunges rs 350 on weak global cues, low local demand"
negative,"gold futures trade near session's low of $1,701.20"
none,love for yellow metal? we need of spot gold exchanges in the country
negative,charts : gold: bearish bias while price contained below $1215
negative,"Gold holds lower after jobless-claims report, other data"
positive,gold futures rise above $900 as dollar falls
none,5 signs before gold takes off
negative,"Gold plunges to Rs 28,780; silver slumps below Rs 37,000-mark"
negative,gold stays lower after fed's beige book
positive,Gold futures score two-week highs even as dollar extends climb
positive,gold prices edge closer to $450
negative,"Commodity outlook: Oil prices likely to trend lower; key support for gold around Rs 31,300, silver at Rs 40,600"
positive,mcx goldpetal oct contract up marginally
positive,gold prices move slightly higher as u.s. stocks trade broadly lower
positive,gold etf rises to all-time high
negative,"fed minutes weigh on stocks, gold while boosting treasurys, dollar"
negative,gold prices may fall as fed commentary boosts the us dollar
positive,Gold goes up Rs 86 on positive global cues
positive,Gold pulls back as private-sector hiring data up prospects for higher interest rates
positive,"Gold holds onto gains from Iraq concerns, Fed language"
positive,"dec gold closes at $473.20, highest since late 1987"
negative,"Gold prices soften on lacklustre demand, global cues"
none,"us mint : sales of us mint american eagle gold, silver coins fall in march"
positive,gold rebounds from jobs-inspired slide
negative,gold's recent slump bewilders investors
negative,"Dec. gold loses $4.90, or 0.4%, to settle at $1,303.30/oz"
none,"gold prices look to fate of us tax cuts for direction, yellen to speak"
none,canadian stocks eke out gains as gold miners rebound
none,gold rate per gram: check out current gold price per gram
negative,Gold prices under pressure; here's what investors should do
negative,gold prices fall on firmer dollar
negative,india gold demand improves slightly after prices drop
positive,gold settles higher amid broad commodity rally
positive,"silver, gold rally to highest level since 2014"
positive,"gold pushes above $1,300 as dollar eases ahead of ecb policy update"
negative,"gold wipes off losses, trading marginally higher in early trade"
none,is gold about to make a run to new highs?
negative,"june gold down $3.20, or 0.2%, to end at $1,305.90/oz"
negative,"april gold falls 20 cents to $1,123.80/oz on globe"
negative,"gold settles lower, extends loss after fed beige book"
none,"Gold import may cross 1,000-tonne mark this year: Analysts"
positive,gold futures log highest settlement since mid-july on comex
positive,gold climbs to one-week high
positive,"August gold edges slightly higher at $1,271.50/oz, up 0.1%"
positive,Commodities@Moneycontrol: Gold prices near highest since August 2016
positive,"gold shines, silver fades"
negative,"gold futures end lower, as u.s. dollar rises vs. rivals"
negative,gold rate today: gold trades lower in morning deals; silver up
positive,"Gold, silver spurt on festive offtake, global cues"
positive,gold prices gain in asia as support continues despite fed hike views
negative,"gold, oil hold on to losses after consumer data"
positive,"December gold rises 1% at $1,265.10"
positive,"Dec. gold gains $1.30, or 0.1%, for the session to finish at $1,325.90/oz"
positive,gold climbs as europe woes spur demand
none,"changes in duties on gold, silver to be announced today"
positive,gold gains on investment buying
none,gold: where to draw the line in the sand after jobs data
negative,"august gold closes at $655.40/oz, down $3.80 in ny"
negative,"December gold down $4.90, or 0.4%, at $1,306.50/oz."
negative,"Gold futures suffer first loss in 3 sessions, but keep grip on $1,300"
positive,Gold ends at 3-month high as dollar wobbles
none,Third tranche of gold bond scheme coming soon: Shaktikanta Das
positive,"dec. gold up $12.50, or 2.1%, to close at $619.30/oz"
positive,"Dec. gold climbs $4, or 0.3%, to settle at $1,282.90/oz"
positive,"australian shares edge up, boosted by gold miners"
none,the shining truth: gold price isn't made in india
positive,"gold glitters, but there're few takers"
negative,gold may slip to rs 26500: nirmal bang
negative,"Gold slips to Rs 30,560 on muted demand, weak global cues "
positive,gold futures up $3.40 at $653 an ounce
negative,Gold Prices Push Lower on Dollar Strength
negative,"gold futures drop $16 to settle at $1,713.80"
positive,"feb. gold gains $16, or 1.4%, to settle at a $1,181.30/oz"
negative,"Gold holds losses on rate hike views, trade worries"
positive,"April gold settles at $1,249.70/oz, up $3.20, or 0.3%"
negative,"gold futures down $10.70 at $1,590.40 an ounce"
positive,Gold prices to trade higher today: Angel Commodities
negative,"Silver drops to Rs 41,400 per kg; gold steady at Rs 30,850"
positive,dollar plunge propels gold stocks
negative,charts : gold enters decisive zone amid growing geopolitics while on downward trend
positive,"short gold, silver on rally, says karvy commodities broking"
positive,"Gold holds on to overnight gains as stocks, dollar retreat"
positive,"dec gold closes near a two-week high, up $5.20 at $467.50/oz"
positive,4 reasons gold is poised for a comeback
none,"govt raises import tariff value of gold, silver"
negative,"gold, silver settle at multi-week lows"
neutral,gold prices hover at 2-week lows on dollar strength
negative,gold closes at 7-week low as dollar continues higher
positive,"gold notches back-to-back gain amid pullback in dollar, bond yields"
negative,Gold settles lower after posting gains over the last two sessions
positive,"gold ends 1.4% higher on china exports, weak dollar"
positive,Gold futures end with a gain of 0.7% for the week
none,"3 trades: avoid bonds, sell gold, buy blue chips"
neutral,"Gold futures hold steady, eyes on U.S. data"
none,government hikes import duty on gold; etfs to park some holdings with banks
positive,"gold inches higher on data, stimulus hopes"
positive,"Gold jumps to Rs 30,450; silver recaptures Rs 41K-mark"
positive,"gold climbs on global cues; silver tops rs 46,000 mark"
negative,gold futures extend losses to a second session
positive,gold prices gain slightly in asia as markets await demand cues
neutral,"Gold's glitter remains, despite the price rise"
none,london clearing : five banks open up trillion dollar gold club
positive,"gold futures turn higher, up 0.2%"
neutral,Gold prices hold steady as investors wait for Fed minutes
none,"in the seconds before jobs report, e-mini futures jumped, gold futures oscillated 'wildly': nanex"
positive,gold eyes biggest weekly gain in months on cyprus woes
none,gold rate today: track gold price in india
none,This gold play's breakout looks enticing as Trump swats at the dollar
negative,india gold seen falling further
negative,gold futures erase most losses to trade down $2.60
positive,gold looks strong at current levels: karvy
negative,Gold prices mark fifth decline in six sessions
negative,"gold prices end lower after failed run at $1,300"
negative,"Gold, silver dip further on weak global cues"
positive,gold prices gain in asia as trump travel policy noted
positive,"aug. gold gains $18.20, or 1.3%, to $1,410/oz"
positive,"June gold futures up $6.20, or 0.5%, to $1,234.90 an ounce"
positive,"gold futures up $12.20 at $1,212.40 an ounce"
neutral,Expect Gold to trade sideways: Sushil Finance
none,Gold: Customs duty hike a revenue measure
negative,gold closes slightly lower as dollar's jump outweighs turkey contagion fear
negative,"Gold settles down $1.30, or 0.1%, at $1,176.50 an ounce"
none,commonweath bank cuts fy13 gold price view by 3%
neutral,Gold prices to trade sideways today: Angel Commodities
none,state street : fed rate hikes next year won't be enough to unsettle gold prices
positive,"Gold may consolidate, move higher"
positive,"gold, copper rise after strong chinese data"
negative,mining : top gold miners production cost still provides floor in the market price
negative,"gold, silver down in early trade"
positive,Gold prices gain in Asia as investors eye last-minute Greece debt talks
negative,October trade deficit widens to $ 17.13 billion despite decline in gold imports
positive,gold scores gain to start week ahead of fed rate decision
none,"Gold Fields swings to profit, lifts dividend"
negative,gold imports likely to fall on lower inflation: rajan
positive,"gold futures up $11.40 at $1,198.70 an ounce"
positive,Gold taps intraday highs as U.S. Dollar Index drops to day's lows
negative,gold prices dip in asia with focus on upcoming u.s. jobs data
negative,"dec gold closes at $399.40/oz, down $3.10 for the day"
positive,randgold gold output up 24% on year
negative,"gold ends lower; silver, copper gain"
negative,"gold futures settle below $1,200 for the second time in a week"
positive,"Gold prices end streak of losses, finish higher for the session"
none,"today's commodity basket: gold, zinc, silver, copper"
none,silver's discount to gold is the biggest since the 1990s
negative,"Gold futures down at Rs 30,383 per 10 gm"
negative,Gold sinks after payrolls report shows a strong July gain
positive,commodities - gold prices regain ground on north korean threats
negative,eldorado gold downgraded to neutral from outperform at credit suisse
negative,gold prices edge down as dollar steadies
negative,"spot gold quoted at $421.30, down 40c from new york"
negative,"gold down on dollar firmness, oil range-bound, copper steady"
positive,Gold settles at 2-month high amid geopolitical tensions
positive,gold buying gains pace as prices move south
negative,nymex gold ends with a $2 loss
positive,"gold climbs, but remains below $1,730/oz"
none,"Antofagasta gold, copper production rises"
none,"gold pinned at 2018 lows, draws scant trade-linked haven demand"
